movie_id,image_url,movie_title,year_released
a-knights-tale,film-poster/4/7/1/2/2/47122-a-knight-s-tale-0-230-0-345-crop,,
a-league-of-their-own,film-poster/4/5/4/4/4/45444-a-league-of-their-own-0-230-0-345-crop,,
a-letter-to-three-wives,film-poster/1/9/6/7/9/19679-a-letter-to-three-wives-0-230-0-345-crop,,
a-lien,film-poster/1/0/0/8/7/1/5/1008715-a-lien-0-230-0-345-crop,,
a-life-less-ordinary,film-poster/4/7/8/9/8/47898-a-life-less-ordinary-0-230-0-345-crop,,
a-little-princess-1995,sm/upload/xa/y9/gs/73/a7LslH4Ofdvi1oam9Bbhb2UyMR2-0-230-0-345-crop,,
a-lizard-in-a-womans-skin,film-poster/3/7/9/7/3797-a-lizard-in-a-woman-s-skin-0-230-0-345-crop,,
a-man-and-a-woman,film-poster/2/2/3/6/4/22364-a-man-and-a-woman-0-230-0-345-crop,,
a-man-called-otto,film-poster/8/4/2/2/2/1/842221-a-man-called-otto-0-230-0-345-crop,,
a-man-called-ove,film-poster/2/7/8/8/8/2/278882-a-man-called-ove-0-230-0-345-crop,,
a-man-escaped,film-poster/4/2/5/0/7/42507-a-man-escaped-0-230-0-345-crop,,
a-man-for-all-seasons,film-poster/5/1/2/7/8/51278-a-man-for-all-seasons-0-230-0-345-crop,,
a-matter-of-life-and-death,film-poster/3/3/8/6/9/33869-a-matter-of-life-and-death-0-230-0-345-crop,,
a-matter-of-loaf-and-death,film-poster/4/3/0/8/3/43083-a-matter-of-loaf-and-death-0-230-0-345-crop,,
a-midsummer-nights-dream-1999,film-poster/4/6/4/4/1/46441-a-midsummer-night-s-dream-0-230-0-345-crop,,
a-midsummer-nights-sex-comedy,film-poster/4/7/8/1/9/47819-a-midsummer-night-s-sex-comedy-0-230-0-345-crop,,
a-mighty-wind,film-poster/4/3/9/4/7/43947-a-mighty-wind-0-230-0-345-crop,,
a-million-miles-away-2023,film-poster/9/0/2/8/6/1/902861-a-million-miles-away-0-230-0-345-crop,,
a-million-ways-to-die-in-the-west,film-poster/1/3/5/7/5/1/135751-a-million-ways-to-die-in-the-west-0-230-0-345-crop,,
a-minecraft-movie,film-poster/8/5/4/6/9/1/854691-a-minecraft-movie-0-230-0-345-crop,,
a-moment-of-innocence,film-poster/2/1/1/8/5/21185-a-moment-of-innocence-0-230-0-345-crop,,
a-moment-of-romance,film-poster/6/7/5/6/7/67567-a-moment-of-romance-0-230-0-345-crop,,
a-monster-calls,film-poster/1/8/1/9/4/3/181943-a-monster-calls-0-230-0-345-crop,,
a-monster-in-paris,film-poster/6/3/9/1/7/63917-a-monster-in-paris-0-230-0-345-crop,,
a-most-violent-year,film-poster/1/6/9/1/0/6/169106-a-most-violent-year-0-230-0-345-crop,,
a-most-wanted-man,sm/upload/bb/0x/ph/6m/k0qWBpfSFLnMDaS43AkdkR9F2vA-0-230-0-345-crop,,
a-murder-at-the-end-of-the-world,film-poster/1/0/8/9/5/2/7/1089527-a-murder-at-the-end-of-the-world-0-230-0-345-crop,,
a-new-leaf,film-poster/2/7/5/5/2/27552-a-new-leaf-0-230-0-345-crop,,
a-nice-indian-boy,film-poster/1/0/1/7/1/6/2/1017162-a-nice-indian-boy-0-230-0-345-crop,,
a-night-at-the-opera,film-poster/2/6/7/8/4/26784-a-night-at-the-opera-0-230-0-345-crop,,
a-night-at-the-roxbury,film-poster/4/7/1/6/8/47168-a-night-at-the-roxbury-0-230-0-345-crop,,
a-night-to-remember,sm/upload/m3/ie/3t/g5/8foJteZ4PBk1YIwI4hEVoRxTryx-0-230-0-345-crop,,
a-nightmare-on-elm-street,film-poster/5/1/7/0/8/51708-a-nightmare-on-elm-street-0-230-0-345-crop,,
a-nightmare-on-elm-street-2010,film-poster/3/7/3/6/9/37369-a-nightmare-on-elm-street-0-230-0-345-crop,,
a-nightmare-on-elm-street-3-dream-warriors,film-poster/4/6/5/7/4/46574-a-nightmare-on-elm-street-3-dream-warriors-0-230-0-345-crop,,
a-nightmare-on-elm-street-4-the-dream-master,film-poster/4/6/5/1/8/46518-a-nightmare-on-elm-street-4-the-dream-master-0-230-0-345-crop,,
a-nightmare-on-elm-street-part-2-freddys-revenge,sm/upload/29/hz/3n/dz/r3fVcNVXsLdo8xZhoOSeUwMNM6B-0-230-0-345-crop,,
a-nightmare-on-elm-street-the-dream-child,film-poster/4/6/4/8/9/46489-a-nightmare-on-elm-street-5-the-dream-child-0-230-0-345-crop,,
a-nonsense-christmas-with-sabrina-carpenter,film-poster/1/2/4/7/3/2/3/1247323-a-nonsense-christmas-with-sabrina-carpenter-0-230-0-345-crop,,
a-nos-amours,film-poster/5/0/3/6/7/50367-a-nos-amours-0-230-0-345-crop,,
a-page-of-madness,sm/upload/64/1e/si/ul/cvwzdaTOG0LwZJuOcLzquS9ET0Y-0-230-0-345-crop,,
a-parks-and-recreation-special,film-poster/6/2/0/1/6/2/620162-a-parks-and-recreation-special-0-230-0-345-crop,,
a-passage-to-india,film-poster/4/1/9/8/1/41981-a-passage-to-india-0-230-0-345-crop,,
a-patch-of-blue,film-poster/2/9/8/4/8/29848-a-patch-of-blue-0-230-0-345-crop,,
a-perfect-getaway,film-poster/4/4/6/1/5/44615-a-perfect-getaway-0-230-0-345-crop,,
a-perfect-murder,sm/upload/be/ll/dz/hr/3qVJPM6tYilp3x3ckSBb3l4NyzE-0-230-0-345-crop,,
a-perfect-world,film-poster/4/7/0/4/1/47041-a-perfect-world-0-230-0-345-crop,,
a-personal-journey-with-martin-scorsese-through-american-movies,film-poster/1/2/7/5/5/5/0/1275550-a-personal-journey-with-martin-scorsese-through-american-0-230-0-345-crop,,
a-pigeon-sat-on-a-branch-reflecting-on-existence,film-poster/8/8/5/0/6/88506-a-pigeon-sat-on-a-branch-reflecting-on-existence-0-230-0-345-crop,,
a-place-in-the-sun,sm/upload/6c/nw/eg/ua/rPbRxW2sAxYRbP84HQJjt1d4Zck-0-230-0-345-crop,,
a-prairie-home-companion,film-poster/4/7/0/7/4/47074-a-prairie-home-companion-0-230-0-345-crop,,
